"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""859988821""","=""honeygifts_van""","=""18401069131068696""","=""This is such a beautiful set!!""","=""https://www.instagram.com/honeygifts_van""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/350588477_800662578292654_6142374297702877449_n.jpg""","=""2024/4/20 18:19:51"""
"=""51515249916""","=""pas.pat2002""","=""18096981421408616""","=""Très charmante lingerie 🥰🥰🥰""","=""https://www.instagram.com/pas.pat2002""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/416275209_890367665833133_3001131654801391874_n.jpg""","=""2024/4/20 19:08:29"""
"=""4831907512""","=""edenmasliah""","=""18058410439502517""","=""this is everything""","=""https://www.instagram.com/edenmasliah""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/358404620_759219392878295_5590632918670221638_n.jpg""","=""2024/4/20 22:12:56"""
"=""322091895""","=""manafit.pilates""","=""18127531837341255""","=""Love this set""","=""https://www.instagram.com/manafit.pilates""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/379073382_988866222404798_8316773517565124005_n.jpg""","=""2024/4/21 00:17:28"""
"=""3919625612""","=""orn.tyr.alx""","=""18075896569475119""","=""@marhz1 ☝️😶""","=""https://www.instagram.com/orn.tyr.alx""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/340488447_614465214053908_1940138243120854139_n.jpg""","=""2024/4/21 00:22:41"""
"=""1769107991""","=""im_amanda_nguyen""","=""17861542164113305""","=""❤️""","=""https://www.instagram.com/im_amanda_nguyen""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/417913924_392115476607060_3897783721117628302_n.jpg""","=""2024/4/21 00:55:39"""
"=""60163044740""","=""kinkicouturebackup""","=""17955517481773782""","=""😍 gorgeous set!""","=""https://www.instagram.com/kinkicouturebackup""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/419368393_375511788403332_5299283041500168470_n.jpg""","=""2024/4/21 05:10:42"""
"=""30747876422""","=""coco_souviens_""","=""18050766679622196""","=""❤️""","=""https://www.instagram.com/coco_souviens_""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/311429576_1224899091407831_7999066045208260171_n.jpg""","=""2024/4/21 06:52:17"""
"=""1447377182""","=""marhz1""","=""18024303527294003""","=""@orn.tyr.alx 😮""","=""https://www.instagram.com/marhz1""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/364287808_509169934735732_3438842264089743460_n.jpg""","=""2024/4/22 08:55:59"""
"=""45069603584""","=""limmweb""","=""18019714864991231""","=""Nice, needs a bit transparency...""","=""https://www.instagram.com/limmweb""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/403787299_1564367527431846_8305622156160083050_n.jpg""","=""2024/4/22 23:04:57"""
"=""65142106047""","=""smithmaleyah1""","=""17974554251558281""","=""Pink cherry Sex room""","=""https://www.instagram.com/smithmaleyah1""","=""https://instagram.fijd1-1.fna.fbcdn.net/v/t51.2885-19/438955189_457344716863746_5744348866200292131_n.jpg""","=""2024/4/23 07:48:22"""